sub_url,photo,build_year,house_name,address,price,district,id
/loupan/1037.html,https://img.0756fang.com/Upload/Dictionary/2018-08/18083115512273F5B62D413C4DE694F0.jpg/260X170,2003,银石雅园,香洲区珠海九州大道西,26658,1,1037
/loupan/1361.html,https://img.0756fang.com/Upload/Dictionary/2020-11/s1C457EDD6AF94A2B99457BB8E689CE47.jpg/260X170,2009,岭秀城,香洲区岭南路8号、公,25440,1,1361
/loupan/324.html,https://img.0756fang.com/Upload/Dictionary/2018-09/e48078e9-9852-4291-8de0-e76d5cba8228.jpg/260X170,2002,粤海国际花园, 香洲区拱北国防路1,29024,1,324
/loupan/319.html,https://img.0756fang.com/Upload/Dictionary/2022-11/s7FABB5EE99FB47268902131CCBB2AA13.jpeg/260X170,2006,钰海山庄,香洲区前山兰埔路15,29924,1,319
/loupan/1339.html,https://img.0756fang.com/Upload/fyEstate/1405141753391B343ACBFD589A17BBD7.jpg/260X170,2010,格力香樟,香洲区九洲大道西16,35414,1,1339
/loupan/251.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s9A8B7647110040A594FEE3035F5858AD.jpg/260X170,2004,兰埔花园,九洲大道西2108号,21742,1,251
/loupan/242.html,https://img.0756fang.com/Upload/fyEstate/08072415465971043AF86AC4CCDF6E80.jpg/260X170,2006,金域廊院,前山兰埔路156号 ,28603,1,242
/loupan/230.html,https://img.0756fang.com/Upload/Dictionary/2019-06/e589da59-b329-42b5-a520-2b22bed35ad3.jpg/260X170,2005,和华国际公寓,拱北粤海西路1018,24998,1,230
/loupan/1355.html,https://img.0756fang.com/Upload/Dictionary/2018-05/74d46244-ad3f-4c7b-bfc4-668865a32273.jpg/260X170,2013,中海富华里,香洲区九洲大道西20,36667,1,1355
/loupan/1535.html,https://img.0756fang.com/Upload/Dictionary/2018-04/0618441e-ff26-4ef1-a28e-eb42cb07a857.jpg/260X170,2018,中铁诺德国际,香洲区白石路73号 ,42689,1,1535
/loupan/1334.html,https://img.0756fang.com/Upload/Fang/2021-08/2108241808096F3E86B54C7A4DFEA861.jpg/260X170,2009,钰海上峰,珠海市前山兰埔路15,32258,1,1334
/loupan/1531.html,https://img.0756fang.com/Upload/Dictionary/2019-06/f64ee2fb-3ac9-4da3-b569-f3920d97ca3e.jpg/260X170,2015,恒虹世纪广场,香洲区迎宾南路200,27473,1,1531
/loupan/249.html,https://img.0756fang.com/Upload/Dictionary/2020-07/sDA2561DC868B48B6A4340CF14D029E32.jpg/260X170,1997,骏发山庄,香洲区拱北联安路18,18696,1,249
